frame_index,source_time_s,bbox_xywh,update_s,decode_s,calibrated_confidence,guarded_states,guarded_events,localization_accepted
0,0.0,"[319.0, 67.0, 254.0, 260.0]",,0.004404166946187615,,[],[],True
1,0.02,"[318.0, 68.0, 256.0, 258.0]",0.022221957973670214,0.00023320800391957164,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.37236533957845436, 0.14166666666666666, 0.6721311475409836, 0.6791666666666667], 'timestamp': 0.02, 'evidence_id': 'ego:2', 'visibility': 'visible', 'confidence': 0.9, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.031430423026279526, 'visible_fraction': 1.0, 'relative_motion': 2.4887001084253156e-08, 'camera_compensated': True, 'total_area_ratio': 1.0001211459973331}]",[],True
2,0.04,"[318.0, 70.0, 256.0, 258.0]",0.016864374978467822,0.0002055419608950615,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.37236533957845436, 0.14583333333333334, 0.6721311475409836, 0.6833333333333333], 'timestamp': 0.04, 'evidence_id': 'ego:3', 'visibility': 'visible', 'confidence': 0.9, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.07506662227668852, 'visible_fraction': 1.0, 'relative_motion': 0.0017908962893372162, 'camera_compensated': True, 'total_area_ratio': 1.0001211459973327}]",[],True
3,0.06,"[316.0, 72.0, 256.0, 258.0]",0.017713000008370727,0.00029620801797136664,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.3700234192037471, 0.15, 0.6697892271662763, 0.6875], 'timestamp': 0.06, 'evidence_id': 'ego:4', 'visibility': 'visible', 'confidence': 0.8854083543409191, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.11459164565908087, 'visible_fraction': 1.0, 'relative_motion': 0.0008520270365664524, 'camera_compensated': True, 'total_area_ratio': 1.0001211459973327}]",[],True
4,0.08,"[316.0, 76.0, 250.0, 252.0]",0.015846375026740134,0.00024829100584611297,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.3700234192037471, 0.15833333333333333, 0.6627634660421545, 0.6833333333333333], 'timestamp': 0.08, 'evidence_id': 'ego:5', 'visibility': 'visible', 'confidence': 0.8813407589413781, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.1186592410586219, 'visible_fraction': 1.0, 'relative_motion': 0.003479656127634207, 'camera_compensated': True, 'total_area_ratio': 0.9539672995069036}]","[{'event_id': 'csrt_phys_assessed_object_motion_started_5', 'kind': 'motion_started', 'object_label': 'assessed object', 'subject_ids': ['phys_assessed_object'], 'started_at': 0.06, 'ended_at': 0.08, 'available_at': 1789496143.07424, 'confidence': 0.8813407589413781, 'uncertainty': 'CSRT with heuristic appearance/scale/visibility guards; confidence is an uncalibrated score, not a probability. Background compensation models translation only. Geometric change does not prove semantic pickup, placement, persistent identity, or physical absence.', 'description': 'assessed object: motion started in the camera view', 'pre_evidence_ids': ['ego:4'], 'post_evidence_ids': ['ego:5'], 'camera_compensated': True}]",True
5,0.1,"[312.0, 76.0, 256.0, 258.0]",0.015688040992245078,0.00021179200848564506,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.36533957845433257, 0.15833333333333333, 0.6651053864168618, 0.6958333333333333], 'timestamp': 0.1, 'evidence_id': 'ego:6', 'visibility': 'visible', 'confidence': 0.870113854968424, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.12988614503157603, 'visible_fraction': 1.0, 'relative_motion': 0.0014890798024073393, 'camera_compensated': True, 'total_area_ratio': 1.0001211459973327}]",[],True
6,0.12,"[310.0, 76.0, 256.0, 258.0]",0.01537974999519065,0.0001912920270115137,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.3629976580796253, 0.15833333333333333, 0.6627634660421545, 0.6958333333333333], 'timestamp': 0.12, 'evidence_id': 'ego:7', 'visibility': 'visible', 'confidence': 0.861450022261903, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.13854997773809696, 'visible_fraction': 1.0, 'relative_motion': 0.003662019012292152, 'camera_compensated': True, 'total_area_ratio': 1.0001211459973327}]",[],True
7,0.14,"[308.0, 76.0, 256.0, 258.0]",0.015211999998427927,0.00019774999236688018,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.36065573770491804, 0.15833333333333333, 0.6604215456674473, 0.6958333333333333], 'timestamp': 0.14, 'evidence_id': 'ego:8', 'visibility': 'visible', 'confidence': 0.8536158058820609, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.14638419411793907, 'visible_fraction': 1.0, 'relative_motion': 0.001972030185160731, 'camera_compensated': True, 'total_area_ratio': 1.0001211459973327}]",[],True
8,0.16,"[308.0, 78.0, 256.0, 258.0]",0.015021750004962087,0.00017312500858679414,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.36065573770491804, 0.1625, 0.6604215456674473, 0.7], 'timestamp': 0.16, 'evidence_id': 'ego:9', 'visibility': 'visible', 'confidence': 0.8463763677869924, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.1536236322130076, 'visible_fraction': 1.0, 'relative_motion': 0.002739930803813944, 'camera_compensated': True, 'total_area_ratio': 1.0001211459973327}]",[],True
9,0.18,"[306.0, 78.0, 256.0, 258.0]",0.01530445902608335,0.00016866601072251797,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.3583138173302108, 0.1625, 0.65807962529274, 0.7], 'timestamp': 0.18, 'evidence_id': 'ego:10', 'visibility': 'visible', 'confidence': 0.8236632083956924, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.17633679160430762, 'visible_fraction': 1.0, 'relative_motion': 0.0021975691673036066, 'camera_compensated': True, 'total_area_ratio': 1.0001211459973327}]",[],True
