frame_index,source_time_s,tracker_reported_success,bbox_xywh,update_s,decode_s,calibrated_confidence
0,0.0,True,"[60.0, 300.0, 236.0, 180.0]",,0.004280416993424296,
1,0.02,True,"[96.0, 314.0, 232.0, 176.0]",0.011228499992284924,0.00024266599211841822,
2,0.04,True,"[136.0, 330.0, 232.0, 176.0]",0.010356040962506086,0.00017441704403609037,
3,0.06,True,"[164.0, 332.0, 236.0, 180.0]",0.010784416983369738,0.0002517920220270753,
4,0.08,True,"[190.0, 348.0, 226.0, 174.0]",0.009568959008902311,0.0001597090158611536,
5,0.1,True,"[220.0, 360.0, 218.0, 166.0]",0.01033404201734811,0.00015633401926606894,
6,0.12,True,"[234.0, 366.0, 222.0, 170.0]",0.011100374977104366,0.0002459590323269367,
7,0.14,True,"[250.0, 376.0, 218.0, 166.0]",0.00949008302995935,0.00014083401765674353,
8,0.16,True,"[266.0, 384.0, 222.0, 170.0]",0.011537291982676834,0.00023562496062368155,
9,0.18,True,"[284.0, 396.0, 218.0, 166.0]",0.01057408400811255,0.00016737502301111817,
10,0.2,True,"[296.0, 394.0, 218.0, 166.0]",0.01131779095157981,0.0002012920449487865,
11,0.22,True,"[304.0, 394.0, 222.0, 170.0]",0.010912500030826777,0.00018083304166793823,
12,0.24,True,"[318.0, 396.0, 214.0, 164.0]",0.010070416959933937,0.0001777080469764769,
13,0.26,True,"[324.0, 396.0, 214.0, 164.0]",0.010378374950960279,0.00018829194596037269,
14,0.28,True,"[334.0, 400.0, 206.0, 156.0]",0.009840874990914017,0.00018437497783452272,
15,0.3,True,"[338.0, 398.0, 210.0, 160.0]",0.010846542019862682,0.0001949169673025608,
16,0.32,True,"[344.0, 400.0, 206.0, 156.0]",0.010893792030401528,0.000253042031545192,
17,0.34,True,"[346.0, 398.0, 210.0, 160.0]",0.010755499999504536,0.0001895000459626317,
18,0.36,True,"[346.0, 398.0, 210.0, 160.0]",0.01061629201285541,0.0001757920254021883,
19,0.38,True,"[346.0, 398.0, 210.0, 160.0]",0.010865541000384837,0.00017991696950048208,
20,0.4,True,"[346.0, 396.0, 214.0, 164.0]",0.01092787500238046,0.0002149590291082859,
21,0.42,True,"[344.0, 398.0, 214.0, 164.0]",0.010720167018007487,0.00019200000679120421,
22,0.44,True,"[346.0, 396.0, 214.0, 164.0]",0.009933000023011118,0.0001687500043772161,
23,0.46,True,"[346.0, 398.0, 214.0, 164.0]",0.010232417029328644,0.0001746250200085342,
24,0.48,True,"[346.0, 394.0, 218.0, 166.0]",0.01064583397237584,0.0001960830413736403,
25,0.5,True,"[344.0, 396.0, 218.0, 166.0]",0.011090249987319112,0.00018800003454089165,
26,0.52,True,"[344.0, 396.0, 218.0, 166.0]",0.011111958010587841,0.00022087502293288708,
27,0.54,True,"[344.0, 394.0, 218.0, 166.0]",0.009791959018912166,0.00017262500477954745,
28,0.56,True,"[344.0, 394.0, 218.0, 166.0]",0.01142433303175494,0.0001794580020941794,
29,0.58,True,"[342.0, 396.0, 218.0, 166.0]",0.009616666997317225,0.00018533301772549748,
30,0.6,True,"[342.0, 394.0, 218.0, 166.0]",0.010026709001976997,0.00019145803526043892,
31,0.62,True,"[340.0, 390.0, 222.0, 170.0]",0.010609125019982457,0.00017783301882445812,
32,0.64,True,"[336.0, 390.0, 226.0, 174.0]",0.011094250017777085,0.00019441702170297503,
33,0.66,True,"[334.0, 390.0, 226.0, 174.0]",0.011671084037516266,0.00020587502513080835,
34,0.68,True,"[336.0, 390.0, 222.0, 170.0]",0.011065625003539026,0.00027550000231713057,
35,0.7000000000000001,True,"[334.0, 388.0, 222.0, 170.0]",0.011216540995519608,0.00016716698883101344,
36,0.72,True,"[332.0, 388.0, 222.0, 170.0]",0.010895833955146372,0.00022004102356731892,
37,0.74,True,"[328.0, 384.0, 226.0, 174.0]",0.010490750020835549,0.00015937502030283213,
