frame_index,source_time_s,tracker_reported_success,bbox_xywh,update_s,decode_s,calibrated_confidence
0,0.0,True,"[320.0, 68.0, 254.0, 260.0]",,0.003005417005624622,
1,0.02,True,"[320.0, 68.0, 254.0, 260.0]",0.010261374991387129,0.00021141697652637959,
2,0.04,True,"[316.0, 68.0, 260.0, 266.0]",0.010286000033374876,0.00022516603348776698,
3,0.06,True,"[316.0, 70.0, 254.0, 260.0]",0.009868583991192281,0.00019341701408848166,
4,0.08,True,"[316.0, 74.0, 254.0, 260.0]",0.00989870901685208,0.00018745800480246544,
5,0.1,True,"[314.0, 76.0, 254.0, 260.0]",0.009776459017302841,0.00018050003563985229,
6,0.12,True,"[312.0, 78.0, 254.0, 260.0]",0.00966762495227158,0.00016970798606052995,
7,0.14,True,"[310.0, 78.0, 254.0, 260.0]",0.009782958019059151,0.00018037500558421016,
8,0.16,True,"[308.0, 78.0, 254.0, 260.0]",0.009857667027972639,0.00019762502051889896,
9,0.18,True,"[306.0, 76.0, 260.0, 266.0]",0.009866208012681454,0.00019133294699713588,
10,0.2,True,"[306.0, 78.0, 254.0, 260.0]",0.009784708032384515,0.00018741696840152144,
11,0.22,True,"[302.0, 76.0, 260.0, 266.0]",0.009855250013060868,0.0001680420245975256,
12,0.24,True,"[302.0, 76.0, 260.0, 266.0]",0.009789417032152414,0.00016737496480345726,
13,0.26,True,"[302.0, 74.0, 260.0, 266.0]",0.009905209008138627,0.0001693330123089254,
14,0.28,True,"[302.0, 74.0, 260.0, 266.0]",0.010006791038904339,0.00017079198732972145,
15,0.3,True,"[300.0, 72.0, 260.0, 266.0]",0.00985329202376306,0.0001727920025587082,
16,0.32,True,"[300.0, 74.0, 260.0, 266.0]",0.009661707968916744,0.000276167003903538,
17,0.34,True,"[302.0, 74.0, 260.0, 266.0]",0.00983966700732708,0.0001787089859135449,
18,0.36,True,"[302.0, 74.0, 260.0, 266.0]",0.009957041998859495,0.00020366697572171688,
19,0.38,True,"[304.0, 72.0, 260.0, 266.0]",0.009661083982791752,0.0001789579982869327,
20,0.4,True,"[304.0, 68.0, 264.0, 270.0]",0.010444083018228412,0.0001861659693531692,
21,0.42,True,"[308.0, 68.0, 264.0, 270.0]",0.009916958049871027,0.00015887495828792453,
22,0.44,True,"[310.0, 64.0, 270.0, 276.0]",0.01034745795186609,0.00018379202811047435,
23,0.46,True,"[316.0, 68.0, 260.0, 266.0]",0.009903250029310584,0.00018333399202674627,
24,0.48,True,"[314.0, 64.0, 264.0, 270.0]",0.009877500007860363,0.00016479199985042214,
25,0.5,True,"[316.0, 64.0, 264.0, 270.0]",0.009808833012357354,0.00022149999858811498,
26,0.52,True,"[314.0, 58.0, 270.0, 276.0]",0.009998625027947128,0.00017316697631031275,
27,0.54,True,"[310.0, 56.0, 274.0, 282.0]",0.010347749979700893,0.00017220800509676337,
28,0.56,True,"[308.0, 56.0, 274.0, 282.0]",0.009889334032777697,0.00018637499306350946,
29,0.58,True,"[310.0, 58.0, 270.0, 276.0]",0.010249791957903653,0.00026649999199435115,
30,0.6,True,"[310.0, 58.0, 270.0, 276.0]",0.010008040990214795,0.00019387499196454883,
31,0.62,True,"[310.0, 60.0, 270.0, 276.0]",0.009944791963789612,0.00017491698963567615,
32,0.64,True,"[308.0, 60.0, 270.0, 276.0]",0.01000620803097263,0.0002369589637964964,
33,0.66,True,"[304.0, 62.0, 270.0, 276.0]",0.01085312501527369,0.0001676249667070806,
34,0.68,True,"[302.0, 64.0, 270.0, 276.0]",0.010679040977265686,0.00017345795640721917,
35,0.7000000000000001,True,"[300.0, 68.0, 264.0, 270.0]",0.011276750010438263,0.00016362499445676804,
36,0.72,True,"[294.0, 68.0, 264.0, 270.0]",0.013530333992093801,0.0002223330084234476,
37,0.74,True,"[292.0, 72.0, 260.0, 266.0]",0.010980584018398076,0.00015520903980359435,
38,0.76,True,"[288.0, 76.0, 254.0, 260.0]",0.010611999954562634,0.00018529099179431796,
39,0.78,True,"[282.0, 80.0, 250.0, 254.0]",0.010593459010124207,0.0001676249667070806,
40,0.8,True,"[272.0, 84.0, 250.0, 254.0]",0.010127415996976197,0.00019745802273973823,
41,0.8200000000000001,True,"[268.0, 90.0, 244.0, 250.0]",0.009818874998018146,0.00015087495557963848,
42,0.84,True,"[262.0, 96.0, 240.0, 246.0]",0.009771667013410479,0.0001860000193119049,
43,0.86,True,"[252.0, 102.0, 240.0, 246.0]",0.009651082975324243,0.0001752910320647061,
44,0.88,True,"[248.0, 108.0, 234.0, 240.0]",0.009823207976296544,0.00016720802523195744,
45,0.9,True,"[240.0, 116.0, 234.0, 240.0]",0.009600207966286689,0.00015962496399879456,
46,0.92,True,"[234.0, 120.0, 234.0, 240.0]",0.009801500011235476,0.00016137497732415795,
47,0.9400000000000002,True,"[228.0, 126.0, 230.0, 236.0]",0.010172999987844378,0.0003352080238983035,
48,0.96,True,"[222.0, 126.0, 234.0, 240.0]",0.009941832977347076,0.00019087502732872963,
49,0.98,True,"[218.0, 130.0, 234.0, 240.0]",0.009731250000186265,0.00018354097846895456,
50,1.0,True,"[216.0, 138.0, 230.0, 236.0]",0.009764833026565611,0.00016366597265005112,
51,1.02,True,"[214.0, 142.0, 226.0, 230.0]",0.009970708983018994,0.0001710830256342888,
52,1.04,True,"[212.0, 144.0, 226.0, 230.0]",0.009882041020318866,0.00017266598297283053,
53,1.06,True,"[206.0, 144.0, 230.0, 236.0]",0.009859333978965878,0.00018024997552856803,
54,1.08,True,"[204.0, 146.0, 230.0, 236.0]",0.009719875000882894,0.00016616599168628454,
55,1.1,True,"[200.0, 146.0, 234.0, 240.0]",0.009618791984394193,0.00016737496480345726,
56,1.12,True,"[200.0, 152.0, 230.0, 236.0]",0.009762250003404915,0.0001698340056464076,
57,1.1400000000000001,True,"[196.0, 154.0, 230.0, 236.0]",0.009485542017500848,0.00017841701628640294,
