frame_index,source_time_s,tracker_reported_success,bbox_xywh,update_s,decode_s,calibrated_confidence
0,0.0,True,"[319.0, 67.0, 254.0, 260.0]",,0.0023638749844394624,
1,0.02,True,"[319.0, 67.0, 254.0, 260.0]",0.019050000002607703,0.00016745796892791986,
2,0.04,True,"[317.0, 69.0, 254.0, 260.0]",0.026317750045564026,0.00015812501078471541,
3,0.06,True,"[315.0, 69.0, 254.0, 260.0]",0.024656791996676475,0.00017383298836648464,
4,0.08,True,"[313.0, 69.0, 254.0, 260.0]",0.02748250000877306,0.00020287500228732824,
5,0.1,True,"[311.0, 71.0, 254.0, 260.0]",0.026083583012223244,0.0001597089576534927,
6,0.12,True,"[309.0, 75.0, 254.0, 260.0]",0.026611249952111393,0.00019749999046325684,
7,0.14,True,"[307.0, 75.0, 254.0, 260.0]",0.027675624995026737,0.00021062500309199095,
8,0.16,True,"[305.0, 75.0, 254.0, 260.0]",0.027484041987918317,0.00016345898620784283,
9,0.18,True,"[305.0, 75.0, 254.0, 260.0]",0.02618370798882097,0.000249749980866909,
10,0.2,True,"[303.0, 75.0, 254.0, 260.0]",0.02703275001840666,0.00019675004296004772,
11,0.22,True,"[303.0, 75.0, 254.0, 260.0]",0.026490374992135912,0.00015208299737423658,
12,0.24,True,"[301.0, 75.0, 254.0, 260.0]",0.025641332962550223,0.0002013749908655882,
13,0.26,True,"[301.0, 73.0, 254.0, 260.0]",0.025305167015176266,0.00021145801292732358,
14,0.28,True,"[299.0, 71.0, 254.0, 260.0]",0.02699070901144296,0.00017891702009364963,
15,0.3,True,"[299.0, 73.0, 254.0, 260.0]",0.027320499997586012,0.0002209999947808683,
16,0.32,True,"[299.0, 71.0, 254.0, 260.0]",0.026598708995152265,0.0001912089646793902,
17,0.34,True,"[301.0, 73.0, 254.0, 260.0]",0.02524933300446719,0.00023179198615252972,
18,0.36,True,"[301.0, 71.0, 254.0, 260.0]",0.025786666956264526,0.00017429201398044825,
19,0.38,True,"[303.0, 71.0, 254.0, 260.0]",0.02579470898490399,0.0002091249916702509,
20,0.4,True,"[307.0, 71.0, 254.0, 260.0]",0.02489441604120657,0.00021049997303634882,
21,0.42,True,"[309.0, 69.0, 254.0, 260.0]",0.02552183298394084,0.0001953340251930058,
22,0.44,True,"[313.0, 67.0, 254.0, 260.0]",0.026097666996065527,0.00023033301113173366,
23,0.46,True,"[315.0, 67.0, 254.0, 260.0]",0.026794874982442707,0.00021050003124400973,
24,0.48,True,"[317.0, 67.0, 254.0, 260.0]",0.026431292004417628,0.00016454100841656327,
25,0.5,True,"[319.0, 67.0, 254.0, 260.0]",0.027573042025323957,0.00019179098308086395,
26,0.52,True,"[319.0, 65.0, 254.0, 260.0]",0.02653108397498727,0.00020170799689367414,
27,0.54,True,"[317.0, 63.0, 254.0, 260.0]",0.026240625011269003,0.00022504199296236038,
28,0.56,True,"[317.0, 65.0, 254.0, 260.0]",0.02532429195707664,0.00020329200197011232,
29,0.58,True,"[315.0, 63.0, 254.0, 260.0]",0.02536066697211936,0.00017316703451797366,
30,0.6,True,"[315.0, 65.0, 254.0, 260.0]",0.025548916950356215,0.000175250053871423,
31,0.62,True,"[313.0, 65.0, 254.0, 260.0]",0.024744166992604733,0.0001703340094536543,
32,0.64,True,"[311.0, 65.0, 254.0, 260.0]",0.026671750005334616,0.00018795800860971212,
33,0.66,True,"[307.0, 67.0, 254.0, 260.0]",0.025946375040803105,0.00018629198893904686,
34,0.68,True,"[303.0, 71.0, 254.0, 260.0]",0.028125540993642062,0.00019908399553969502,
35,0.7000000000000001,True,"[299.0, 73.0, 254.0, 260.0]",0.028028500033542514,0.0001967910211533308,
36,0.72,True,"[295.0, 73.0, 254.0, 260.0]",0.02758204098790884,0.000216833024751395,
37,0.74,True,"[289.0, 73.0, 254.0, 260.0]",0.025560042005963624,0.00018387497402727604,
38,0.76,True,"[281.0, 75.0, 254.0, 260.0]",0.026911624998319894,0.000248334021307528,
39,0.78,True,"[273.0, 79.0, 254.0, 260.0]",0.027416583034209907,0.0001961250090971589,
40,0.8,True,"[265.0, 81.0, 254.0, 260.0]",0.028188584023155272,0.0001919170026667416,
41,0.8200000000000001,True,"[257.0, 83.0, 254.0, 260.0]",0.027329708042088896,0.00019462499767541885,
42,0.84,True,"[249.0, 87.0, 254.0, 260.0]",0.02600562502630055,0.00018987496150657535,
43,0.86,True,"[241.0, 91.0, 254.0, 260.0]",0.028516791993752122,0.0001985409762710333,
44,0.88,True,"[231.0, 95.0, 254.0, 260.0]",0.026451457990333438,0.00026954198256134987,
45,0.9,True,"[223.0, 101.0, 254.0, 260.0]",0.026733500009868294,0.00022737501421943307,
46,0.92,True,"[217.0, 105.0, 254.0, 260.0]",0.027916166000068188,0.000201958988327533,
47,0.9400000000000002,True,"[211.0, 109.0, 254.0, 260.0]",0.026794624980539083,0.00019279099069535732,
48,0.96,True,"[207.0, 113.0, 254.0, 260.0]",0.02694229199551046,0.00019633298506960273,
49,0.98,True,"[203.0, 117.0, 254.0, 260.0]",0.026993541978299618,0.00018137495499104261,
50,1.0,True,"[199.0, 121.0, 254.0, 260.0]",0.027523875003680587,0.0002371249720454216,
51,1.02,True,"[195.0, 125.0, 254.0, 260.0]",0.026161457994021475,0.00019816699204966426,
52,1.04,True,"[193.0, 127.0, 254.0, 260.0]",0.027312499994877726,0.00020558404503390193,
53,1.06,True,"[191.0, 131.0, 254.0, 260.0]",0.026497500017285347,0.00027004204457625747,
54,1.08,True,"[189.0, 133.0, 254.0, 260.0]",0.025995792006142437,0.00023487495491281152,
55,1.1,True,"[187.0, 133.0, 254.0, 260.0]",0.027922249981202185,0.00021208298858255148,
56,1.12,True,"[183.0, 135.0, 254.0, 260.0]",0.02813533303560689,0.0001741250162012875,
57,1.1400000000000001,True,"[179.0, 139.0, 254.0, 260.0]",0.026202125009149313,0.00019629200687631965,
58,1.16,True,"[175.0, 141.0, 254.0, 260.0]",0.025842332979664207,0.0002191669773310423,
59,1.18,True,"[171.0, 141.0, 254.0, 260.0]",0.02872991596814245,0.00020875001791864634,
60,1.2,True,"[169.0, 143.0, 254.0, 260.0]",0.026489000010769814,0.0002014579949900508,
61,1.22,True,"[167.0, 147.0, 254.0, 260.0]",0.02823062497191131,0.00022674998035654426,
62,1.24,True,"[163.0, 149.0, 254.0, 260.0]",0.02767220902023837,0.0002205409691669047,
63,1.26,True,"[161.0, 149.0, 254.0, 260.0]",0.026881541998591274,0.00025870802346616983,
64,1.28,True,"[161.0, 151.0, 254.0, 260.0]",0.027374957979191095,0.00025695899967104197,
65,1.3,True,"[159.0, 153.0, 254.0, 260.0]",0.027734208037145436,0.00020599999697878957,
66,1.32,True,"[157.0, 153.0, 254.0, 260.0]",0.026062124990858138,0.00021716702030971646,
67,1.34,True,"[155.0, 155.0, 254.0, 260.0]",0.02742666599806398,0.00021712499437853694,
68,1.36,True,"[153.0, 157.0, 254.0, 260.0]",0.027151041955221444,0.0001866659731604159,
69,1.3800000000000003,True,"[153.0, 157.0, 254.0, 260.0]",0.025588249962311238,0.00017300003673881292,
70,1.4000000000000001,True,"[153.0, 157.0, 254.0, 260.0]",0.027857083012349904,0.0002073750365525484,
71,1.42,True,"[153.0, 159.0, 254.0, 260.0]",0.02718600002117455,0.00018804200226441026,
72,1.44,True,"[151.0, 161.0, 254.0, 260.0]",0.027867042052093893,0.00020595802925527096,
73,1.46,True,"[151.0, 161.0, 254.0, 260.0]",0.028085292025934905,0.00025237497175112367,
74,1.48,True,"[151.0, 161.0, 254.0, 260.0]",0.027523458003997803,0.0003017919952981174,
75,1.5,True,"[151.0, 159.0, 254.0, 260.0]",0.02748808398609981,0.00017899996601045132,
76,1.52,True,"[151.0, 161.0, 254.0, 260.0]",0.026655084046069533,0.0004189169849269092,
77,1.54,True,"[153.0, 159.0, 254.0, 260.0]",0.027396749996114522,0.00020070798927918077,
78,1.56,True,"[153.0, 161.0, 254.0, 260.0]",0.027359125029761344,0.00023779197363182902,
79,1.58,True,"[153.0, 161.0, 254.0, 260.0]",0.028066999977454543,0.00017729197861626744,
80,1.6,True,"[153.0, 161.0, 254.0, 260.0]",0.026550750015303493,0.0001972499885596335,
81,1.62,True,"[153.0, 163.0, 254.0, 260.0]",0.02646750002168119,0.00019799999427050352,
82,1.6400000000000001,True,"[153.0, 165.0, 254.0, 260.0]",0.027335707971360534,0.0001587909646332264,
83,1.6600000000000001,True,"[151.0, 165.0, 254.0, 260.0]",0.02917241700924933,0.00021808402379974723,
84,1.68,True,"[149.0, 167.0, 254.0, 260.0]",0.027427041030023247,0.0002033329801633954,
85,1.7,True,"[147.0, 167.0, 254.0, 260.0]",0.02646750002168119,0.0002181250019930303,
86,1.72,True,"[145.0, 167.0, 254.0, 260.0]",0.027707541012205184,0.00019458297174423933,
87,1.74,True,"[143.0, 167.0, 254.0, 260.0]",0.02720504201715812,0.00020191603107377887,
88,1.76,True,"[141.0, 167.0, 254.0, 260.0]",0.028473582991864532,0.00019575003534555435,
89,1.78,True,"[139.0, 165.0, 254.0, 260.0]",0.027856792032252997,0.00020266597857698798,
90,1.8,True,"[137.0, 163.0, 254.0, 260.0]",0.028802999993786216,0.00019958300981670618,
91,1.82,True,"[137.0, 165.0, 254.0, 260.0]",0.029108542017638683,0.0003386249882169068,
