frame_index,source_time_s,tracker_reported_success,bbox_xywh,update_s,decode_s,calibrated_confidence
0,0.0,True,"[60.0, 300.0, 235.0, 180.0]",,0.00445637502707541,
1,0.02,True,"[94.0, 314.0, 235.0, 180.0]",0.016109207994304597,0.0001776250428520143,
2,0.04,True,"[133.0, 331.0, 230.0, 176.0]",0.015089166001416743,0.00033849995816126466,
3,0.06,True,"[162.0, 333.0, 235.0, 180.0]",0.014624458039179444,0.00016825000056996942,
4,0.08,True,"[184.0, 342.0, 240.0, 184.0]",0.01697004196466878,0.00019683397840708494,
5,0.1,True,"[209.0, 359.0, 235.0, 180.0]",0.013381541997659951,0.00018433399964123964,
6,0.12,True,"[233.0, 372.0, 221.0, 170.0]",0.013404249970335513,0.00019120803335681558,
7,0.14,True,"[248.0, 375.0, 221.0, 170.0]",0.014043375034816563,0.0002027080045081675,
8,0.16,True,"[268.0, 386.0, 217.0, 166.0]",0.013733790954574943,0.0001860000193119049,
9,0.18,True,"[286.0, 394.0, 213.0, 163.0]",0.013753458042629063,0.00018970901146531105,
10,0.2,True,"[297.0, 396.0, 217.0, 166.0]",0.013950333988759667,0.00016941700596362352,
11,0.22,True,"[313.0, 397.0, 213.0, 163.0]",0.0133849160047248,0.000183124968316406,
12,0.24,True,"[321.0, 401.0, 205.0, 157.0]",0.01527550001628697,0.00019545899704098701,
13,0.26,True,"[333.0, 405.0, 193.0, 148.0]",0.014967499999329448,0.00022620800882577896,
14,0.28,True,"[342.0, 406.0, 193.0, 148.0]",0.012906707997899503,0.00018170801922678947,
15,0.3,True,"[344.0, 405.0, 193.0, 148.0]",0.012782166944816709,0.00018329202430322766,
16,0.32,True,"[350.0, 407.0, 189.0, 145.0]",0.013367915991693735,0.0001907919649966061,
17,0.34,True,"[355.0, 407.0, 189.0, 145.0]",0.012625332979951054,0.00016362499445676804,
18,0.36,True,"[358.0, 407.0, 189.0, 145.0]",0.013028957997448742,0.00019645801512524486,
19,0.38,True,"[361.0, 407.0, 189.0, 145.0]",0.012849333987105638,0.00017308298265561461,
20,0.4,True,"[363.0, 408.0, 185.0, 142.0]",0.012660875043366104,0.0002045410219579935,
21,0.42,True,"[365.0, 406.0, 189.0, 145.0]",0.012436625023838133,0.0001842500059865415,
22,0.44,True,"[364.0, 408.0, 185.0, 142.0]",0.01228999998420477,0.00019975000759586692,
23,0.46,True,"[365.0, 406.0, 189.0, 145.0]",0.012955667043570429,0.00017962499987334013,
24,0.48,True,"[362.0, 405.0, 193.0, 148.0]",0.012132750009186566,0.0002044999855570495,
25,0.5,True,"[362.0, 405.0, 193.0, 148.0]",0.013794208003673702,0.00017962499987334013,
26,0.52,True,"[362.0, 406.0, 193.0, 148.0]",0.013345332990866154,0.0001901250216178596,
27,0.54,True,"[361.0, 403.0, 197.0, 151.0]",0.01229300000704825,0.0001652909559197724,
28,0.56,True,"[360.0, 404.0, 197.0, 151.0]",0.011599541991017759,0.00016649998724460602,
29,0.58,True,"[359.0, 403.0, 197.0, 151.0]",0.013647416955791414,0.00016987498383969069,
30,0.6,True,"[357.0, 400.0, 201.0, 154.0]",0.01256770797772333,0.00016837503062561154,
31,0.62,True,"[357.0, 402.0, 197.0, 151.0]",0.015518542029894888,0.0001641659764572978,
32,0.64,True,"[352.0, 396.0, 205.0, 157.0]",0.012657582992687821,0.00018520798766985536,
33,0.66,True,"[352.0, 399.0, 201.0, 154.0]",0.013872749987058342,0.0001937500201165676,
34,0.68,True,"[350.0, 395.0, 205.0, 157.0]",0.012942207977175713,0.00024120800662785769,
35,0.7000000000000001,True,"[348.0, 395.0, 205.0, 157.0]",0.01337129098828882,0.00020000000949949026,
36,0.72,True,"[345.0, 394.0, 205.0, 157.0]",0.013160583970602602,0.00017399998614564538,
37,0.74,True,"[341.0, 390.0, 209.0, 160.0]",0.013021832972299308,0.0001949999714270234,
38,0.76,True,"[337.0, 390.0, 213.0, 163.0]",0.01286641595652327,0.00018395797815173864,
39,0.78,True,"[334.0, 390.0, 213.0, 163.0]",0.01245687500340864,0.00017433398170396686,
40,0.8,True,"[330.0, 388.0, 213.0, 163.0]",0.014440792030654848,0.0001830000546760857,
41,0.8200000000000001,True,"[327.0, 387.0, 213.0, 163.0]",0.013473415980115533,0.00021600001491606236,
42,0.84,True,"[322.0, 385.0, 217.0, 166.0]",0.012863209005445242,0.00022250000620260835,
43,0.86,True,"[316.0, 383.0, 217.0, 166.0]",0.014432874973863363,0.0001950410078279674,
44,0.88,True,"[314.0, 382.0, 217.0, 166.0]",0.012941792025230825,0.00017716700676828623,
45,0.9,True,"[309.0, 378.0, 221.0, 170.0]",0.01420254202093929,0.0003559999749995768,
46,0.92,True,"[305.0, 378.0, 221.0, 170.0]",0.01264620799338445,0.00020945898722857237,
47,0.9400000000000002,True,"[303.0, 377.0, 221.0, 170.0]",0.013024916988797486,0.0002079169498756528,
48,0.96,True,"[299.0, 374.0, 226.0, 173.0]",0.013345416984520853,0.00018087500939145684,
49,0.98,True,"[296.0, 374.0, 226.0, 173.0]",0.013795749982818961,0.00019629101734608412,
50,1.0,True,"[294.0, 374.0, 226.0, 173.0]",0.014416333986446261,0.0001840420300140977,
51,1.02,True,"[290.0, 372.0, 230.0, 176.0]",0.01336099999025464,0.00023833400337025523,
52,1.04,True,"[289.0, 372.0, 230.0, 176.0]",0.0139255840331316,0.00020816700998693705,
53,1.06,True,"[288.0, 372.0, 230.0, 176.0]",0.0129442079924047,0.00014900002861395478,
54,1.08,True,"[288.0, 372.0, 230.0, 176.0]",0.0146227499935776,0.00018854200607165694,
55,1.1,True,"[287.0, 372.0, 230.0, 176.0]",0.01325300004100427,0.00016720796702429652,
56,1.12,True,"[286.0, 374.0, 230.0, 176.0]",0.013910209003370255,0.00016979197971522808,
57,1.1400000000000001,True,"[285.0, 374.0, 230.0, 176.0]",0.014084124995861202,0.00019220804097130895,
58,1.16,True,"[288.0, 376.0, 226.0, 173.0]",0.014039708999916911,0.0001627500168979168,
59,1.18,True,"[293.0, 379.0, 221.0, 170.0]",0.014720625011250377,0.00016941700596362352,
60,1.2,True,"[299.0, 382.0, 217.0, 166.0]",0.015857832971960306,0.0001734999823383987,
61,1.22,True,"[303.0, 381.0, 226.0, 173.0]",0.013873833988327533,0.00024954095715656877,
62,1.24,True,"[317.0, 392.0, 226.0, 173.0]",0.014102582994382828,0.00017087499145418406,
63,1.26,True,"[331.0, 392.0, 226.0, 173.0]",0.01349616702646017,0.00016145798144862056,
64,1.28,True,"[346.0, 394.0, 221.0, 170.0]",0.015399166964925826,0.0002152079832740128,
65,1.3,True,"[362.0, 394.0, 221.0, 170.0]",0.01334662502631545,0.00021495803957805037,
66,1.32,True,"[381.0, 394.0, 221.0, 170.0]",0.014038750028703362,0.00015695899492129683,
67,1.34,True,"[442.0, 337.0, 221.0, 170.0]",0.014030874997843057,0.00015425001038238406,
68,1.36,True,"[465.0, 366.0, 221.0, 170.0]",0.013516000006347895,0.00017450004816055298,
69,1.3800000000000003,True,"[485.0, 381.0, 226.0, 173.0]",0.01339724997524172,0.00015650002751499414,
70,1.4000000000000001,True,"[522.0, 392.0, 226.0, 173.0]",0.014366791991051286,0.00016087497351691127,
71,1.42,True,"[493.0, 309.0, 221.0, 170.0]",0.013912416994571686,0.00019095797324553132,
72,1.44,True,"[520.0, 334.0, 217.0, 166.0]",0.013203791982959956,0.0001930830185301602,
73,1.46,True,"[549.0, 360.0, 217.0, 166.0]",0.01306795800337568,0.00016958400374278426,
74,1.48,True,"[569.0, 379.0, 217.0, 166.0]",0.014213916030712426,0.00018500001169741154,
75,1.5,True,"[600.0, 397.0, 213.0, 163.0]",0.012625791947357357,0.00016908301040530205,
76,1.52,True,"[618.0, 396.0, 217.0, 166.0]",0.013551249983720481,0.00016183400293812156,
77,1.54,True,"[635.0, 396.0, 217.0, 166.0]",0.012368541967589408,0.0001699999556876719,
