frame_index,source_time_s,tracker_reported_success,bbox_xywh,update_s,decode_s,calibrated_confidence
0,0.0,True,"[60.0, 300.0, 235.0, 180.0]",,0.004063125001266599,
1,0.02,True,"[84.0, 299.0, 235.0, 180.0]",0.006686417036689818,0.0002169579965993762,
2,0.04,True,"[108.0, 299.0, 235.0, 180.0]",0.0086833750247024,0.00016833300469443202,
3,0.06,True,"[132.0, 299.0, 235.0, 180.0]",0.006880916014779359,0.00014779198681935668,
4,0.08,True,"[156.0, 299.0, 235.0, 180.0]",0.008648458984680474,0.00017979199765250087,
5,0.1,True,"[145.0, 284.0, 235.0, 180.0]",0.008236417022999376,0.0001864590449258685,
6,0.12,True,"[166.0, 297.0, 235.0, 180.0]",0.010190917004365474,0.00018749997252598405,
7,0.14,True,"[190.0, 299.0, 235.0, 180.0]",0.007544375024735928,0.0001724159810692072,
8,0.16,True,"[213.0, 298.0, 235.0, 180.0]",0.006971249997150153,0.00017079198732972145,
9,0.18,True,"[220.0, 299.0, 235.0, 180.0]",0.009870125039014965,0.0002127499901689589,
10,0.2,True,"[212.0, 299.0, 235.0, 180.0]",0.007770041993353516,0.00015366700245067477,
11,0.22,True,"[211.0, 299.0, 235.0, 180.0]",0.007888666004873812,0.0001751669915392995,
12,0.24,True,"[212.0, 299.0, 235.0, 180.0]",0.00814987497869879,0.00021354202181100845,
13,0.26,True,"[212.0, 299.0, 235.0, 180.0]",0.008836457971483469,0.00017908302834257483,
14,0.28,True,"[211.0, 299.0, 235.0, 180.0]",0.008431666996330023,0.00016679102554917336,
15,0.3,True,"[211.0, 299.0, 235.0, 180.0]",0.007669666956644505,0.0002555419923737645,
16,0.32,True,"[211.0, 299.0, 235.0, 180.0]",0.00803887500660494,0.00016787502681836486,
17,0.34,True,"[226.0, 299.0, 235.0, 180.0]",0.009904791018925607,0.00019341602455824614,
18,0.36,True,"[227.0, 299.0, 235.0, 180.0]",0.007318583026062697,0.00021104095503687859,
19,0.38,True,"[226.0, 299.0, 235.0, 180.0]",0.008394583011977375,0.00017204199684783816,
20,0.4,True,"[226.0, 298.0, 235.0, 180.0]",0.008918042003642768,0.0001866249949671328,
21,0.42,True,"[226.0, 299.0, 235.0, 180.0]",0.008549459045752883,0.0002209999947808683,
22,0.44,True,"[226.0, 299.0, 235.0, 180.0]",0.007173415971919894,0.000190042017493397,
23,0.46,True,"[226.0, 298.0, 235.0, 180.0]",0.008990208036266267,0.00018204102525487542,
24,0.48,True,"[225.0, 297.0, 235.0, 180.0]",0.00811808300204575,0.00020312500419095159,
25,0.5,True,"[225.0, 297.0, 235.0, 180.0]",0.0085775830084458,0.00017049995949491858,
26,0.52,True,"[225.0, 297.0, 235.0, 180.0]",0.009070375002920628,0.00016733299707993865,
27,0.54,True,"[225.0, 297.0, 235.0, 180.0]",0.007879500044509768,0.000171166961081326,
28,0.56,True,"[223.0, 296.0, 235.0, 180.0]",0.008913166006095707,0.00018970802193507552,
29,0.58,True,"[223.0, 296.0, 235.0, 180.0]",0.010168833017814904,0.00018787500448524952,
30,0.6,True,"[221.0, 297.0, 235.0, 180.0]",0.009285999985877424,0.00017812498845160007,
31,0.62,True,"[221.0, 295.0, 235.0, 180.0]",0.009227124974131584,0.00015587499365210533,
32,0.64,True,"[220.0, 295.0, 235.0, 180.0]",0.008857291017193347,0.00019925000378862023,
33,0.66,True,"[219.0, 295.0, 235.0, 180.0]",0.008719375007785857,0.00017758295871317387,
34,0.68,True,"[218.0, 294.0, 235.0, 180.0]",0.008474041998852044,0.00018583302153274417,
35,0.7000000000000001,True,"[216.0, 292.0, 235.0, 180.0]",0.00940037501277402,0.0001895829918794334,
36,0.72,True,"[214.0, 293.0, 235.0, 180.0]",0.010064250032883137,0.0001817920128814876,
37,0.74,True,"[212.0, 293.0, 235.0, 180.0]",0.008931250020395964,0.0001699170097708702,
38,0.76,True,"[210.0, 291.0, 235.0, 180.0]",0.009143667004536837,0.00019474996952340007,
39,0.78,True,"[207.0, 291.0, 235.0, 180.0]",0.008583625021856278,0.00018554198322817683,
40,0.8,True,"[204.0, 291.0, 235.0, 180.0]",0.009125209006015211,0.00017687497893348336,
41,0.8200000000000001,True,"[202.0, 291.0, 235.0, 180.0]",0.009864250023383647,0.00021291698794811964,
42,0.84,True,"[197.0, 290.0, 235.0, 180.0]",0.010319959023036063,0.00019445799989625812,
43,0.86,True,"[194.0, 289.0, 235.0, 180.0]",0.008964459004346281,0.00018495798576623201,
44,0.88,True,"[191.0, 289.0, 235.0, 180.0]",0.010739499994087964,0.0001906669931486249,
45,0.9,True,"[189.0, 289.0, 235.0, 180.0]",0.009358916024211794,0.00016254099318757653,
46,0.92,True,"[186.0, 288.0, 235.0, 180.0]",0.009058375027962029,0.00021466700127348304,
47,0.9400000000000002,True,"[182.0, 287.0, 235.0, 180.0]",0.009594582952558994,0.0001829999964684248,
48,0.96,True,"[180.0, 287.0, 235.0, 180.0]",0.011877750046551228,0.00017695798305794597,
49,0.98,True,"[178.0, 287.0, 235.0, 180.0]",0.010662958025932312,0.00019216694636270404,
50,1.0,True,"[176.0, 287.0, 235.0, 180.0]",0.009922750003170222,0.0005177910206839442,
51,1.02,True,"[174.0, 287.0, 235.0, 180.0]",0.010166249994654208,0.00017954199574887753,
52,1.04,True,"[174.0, 287.0, 235.0, 180.0]",0.010393542004749179,0.00019108300330117345,
53,1.06,True,"[173.0, 286.0, 235.0, 180.0]",0.00898729101754725,0.00018579099560156465,
54,1.08,True,"[172.0, 286.0, 235.0, 180.0]",0.00897237501339987,0.00015995802823454142,
55,1.1,True,"[172.0, 287.0, 235.0, 180.0]",0.009380541043356061,0.00016870902618393302,
56,1.12,True,"[172.0, 287.0, 235.0, 180.0]",0.010377999977208674,0.00020845799008384347,
57,1.1400000000000001,True,"[171.0, 287.0, 235.0, 180.0]",0.01042508298996836,0.00017199997091665864,
58,1.16,True,"[173.0, 288.0, 235.0, 180.0]",0.010269500024151057,0.00018749997252598405,
59,1.18,True,"[177.0, 288.0, 235.0, 180.0]",0.010606582975015044,0.0002543329610489309,
60,1.2,True,"[182.0, 289.0, 235.0, 180.0]",0.008953832963015884,0.00019216700457036495,
61,1.22,True,"[190.0, 292.0, 235.0, 180.0]",0.010759665980003774,0.0001800419995561242,
62,1.24,True,"[203.0, 297.0, 235.0, 180.0]",0.00838225003099069,0.00017750001279637218,
63,1.26,True,"[216.0, 299.0, 235.0, 180.0]",0.008265958982519805,0.00015137495938688517,
64,1.28,True,"[228.0, 299.0, 235.0, 180.0]",0.007956292014569044,0.00016320799477398396,
65,1.3,True,"[241.0, 299.0, 235.0, 180.0]",0.00818316696677357,0.000171584018971771,
66,1.32,True,"[265.0, 299.0, 235.0, 180.0]",0.00779512501321733,0.00018408300820738077,
67,1.34,True,"[280.0, 299.0, 235.0, 180.0]",0.008547917008399963,0.00015254196478053927,
68,1.36,True,"[299.0, 299.0, 235.0, 180.0]",0.008670584007631987,0.00018191698472946882,
69,1.3800000000000003,True,"[288.0, 299.0, 235.0, 180.0]",0.0070755420019850135,0.00019316701218485832,
70,1.4000000000000001,True,"[277.0, 295.0, 235.0, 180.0]",0.008187832951080054,0.00020616705296561122,
71,1.42,True,"[301.0, 299.0, 235.0, 180.0]",0.007629166997503489,0.0001587080187164247,
72,1.44,True,"[325.0, 299.0, 235.0, 180.0]",0.007677959045395255,0.00018420798005536199,
73,1.46,True,"[347.0, 299.0, 235.0, 180.0]",0.00860712502617389,0.0001681249705143273,
74,1.48,True,"[367.0, 285.0, 235.0, 180.0]",0.007643666001968086,0.00016562500968575478,
75,1.5,True,"[389.0, 296.0, 235.0, 180.0]",0.009773291007149965,0.00023029203293845057,
76,1.52,True,"[409.0, 299.0, 235.0, 180.0]",0.00825491698924452,0.00017262500477954745,
77,1.54,True,"[427.0, 287.0, 235.0, 180.0]",0.008912416989915073,0.00015808403259143233,
